obs,idnumber,salary,lsalary,educ,salbeginn,lsalbeginn,male,minority,jobcat
1,1,33.9,3.523415014,15,19.5,2.970414466,0,0,1
2,2,24.15,3.18428438,15,11.55,2.446685437,0,0,1
3,3,29.25,3.375879574,15,11.55,2.446685437,0,0,1
4,4,27.6,3.317815773,12,11.4,2.433613355,0,0,1
5,5,22.95,3.133317937,12,10.5,2.351375257,0,0,1
6,6,34.8,3.549617387,16,14.55,2.677590994,0,0,1
7,7,51,3.931825633,16,18,2.890371758,0,0,1
8,8,24.3,3.19047635,12,10.95,2.393339456,0,0,1
9,9,24.75,3.208825489,12,14.25,2.656756907,0,1,1
10,10,22.95,3.133317937,12,11.25,2.420368129,0,1,1
11,11,25.05,3.220873828,8,10.95,2.393339456,0,1,1
12,12,25.95,3.25617161,15,17.1,2.839078464,1,0,1
13,13,31.65,3.454738149,15,15.75,2.756840365,1,0,1
14,14,24.15,3.18428438,12,14.1,2.646174797,1,0,1
15,15,72.5,4.283586562,19,28.74,3.358289881,1,0,3
16,16,68.75,4.230476737,19,27.48,3.313458467,1,0,3
17,17,16.2,2.785011242,8,9.75,2.277267285,0,0,1
18,18,20.1,3.000719815,12,11.25,2.420368129,0,0,1
19,19,24,3.17805383,8,10.95,2.393339456,0,0,1
20,20,25.95,3.25617161,12,10.95,2.393339456,0,0,1
21,21,24.6,3.202746443,12,10.05,2.307572635,0,0,1
22,22,28.5,3.349904087,12,10.5,2.351375257,0,0,1
23,23,30.75,3.425889994,8,15,2.708050201,1,1,2
24,24,40.2,3.693866996,17,19.5,2.970414466,1,1,1
25,25,30,3.401197382,8,15,2.708050201,1,1,2
26,26,22.05,3.093312602,12,10.95,2.393339456,0,1,1
27,27,78.25,4.359908829,18,27.48,3.313458467,1,0,3
28,28,60.625,4.104707349,16,22.5,3.113515309,1,0,3
29,29,39.9,3.686376324,14,15.75,2.756840365,1,0,1
30,30,97,4.574710979,19,35.01,3.555633735,1,0,3
31,31,27.45,3.312366168,15,15.75,2.756840365,1,0,1
32,32,31.65,3.454738149,15,13.5,2.602689685,1,0,1
33,33,91.25,4.513602992,19,29.49,3.384051223,1,0,3
34,34,25.2,3.226843995,12,14.4,2.667228207,0,0,1
35,35,21,3.044522438,12,11.55,2.446685437,0,0,1
36,36,30.45,3.416085994,12,15,2.708050201,1,1,1
37,37,28.35,3.34462703,15,18,2.890371758,1,1,1
38,38,30.75,3.425889994,12,9,2.197224577,1,1,2
39,39,30.75,3.425889994,12,15,2.708050201,1,1,2
40,40,54.875,4.005057871,16,27.48,3.313458467,1,0,3
41,41,37.8,3.632309103,14,16.5,2.803360381,1,0,1
42,42,33.45,3.510051787,15,14.1,2.646174797,1,0,1
43,43,30.3,3.411147713,15,16.5,2.803360381,1,0,1
44,44,31.5,3.449987546,12,18.75,2.931193752,0,0,1
45,45,31.65,3.454738149,12,14.25,2.656756907,0,0,1
46,46,25.2,3.226843995,12,14.1,2.646174797,0,0,1
47,47,37.8,3.632309103,16,15.75,2.756840365,0,0,3
48,48,18.75,2.931193752,15,10.5,2.351375257,0,0,1
49,49,32.55,3.482777369,15,13.5,2.602689685,0,0,1
50,50,33.3,3.505557397,12,15,2.708050201,0,0,1
51,51,38.55,3.6519561,16,16.5,2.803360381,0,0,1
52,52,27.45,3.312366168,12,15,2.708050201,1,1,1
53,53,24.3,3.19047635,15,15,2.708050201,1,1,2
54,54,30.75,3.425889994,12,15,2.708050201,1,1,2
55,55,19.65,2.978077338,12,9.75,2.277267285,0,1,1
56,56,68.75,4.230476737,17,27.51,3.314549575,1,0,3
57,57,59.375,4.083873262,20,30,3.401197382,1,0,3
58,58,31.5,3.449987546,15,15.75,2.756840365,1,0,1
59,59,27.3,3.306886702,12,17.25,2.847812143,1,0,1
60,60,27,3.295836866,15,15.75,2.756840365,1,0,1
61,61,41.55,3.726897521,16,24.99,3.218475745,0,0,3
62,62,26.25,3.267665989,12,10.95,2.393339456,0,0,1
63,63,22.2,3.100092289,12,15,2.708050201,1,0,1
64,64,65,4.17438727,21,37.5,3.624340933,1,0,3
65,65,30.9,3.430756184,12,15,2.708050201,1,0,1
66,66,20.1,3.000719815,8,13.2,2.58021683,0,0,1
67,67,22.35,3.106826321,12,13.5,2.602689685,0,0,1
68,68,35.55,3.570940156,15,13.35,2.591516385,0,0,1
69,69,28.5,3.349904087,12,13.95,2.635479508,0,0,1
70,70,24.45,3.196630216,12,13.2,2.58021683,0,0,1
71,71,16.65,2.812410216,8,9.75,2.277267285,0,0,1
72,72,26.7,3.284663565,12,13.5,2.602689685,1,1,1
73,73,43.95,3.783052624,18,23.25,3.146305132,1,1,1
74,74,23.7,3.165475048,15,13.5,2.602689685,1,1,1
75,75,26.55,3.279029748,15,14.25,2.656756907,0,1,1
76,76,27.6,3.317815773,12,15,2.708050201,1,0,1
77,77,25.8,3.250374492,12,15,2.708050201,1,0,1
78,78,42.3,3.744787086,16,26.25,3.267665989,1,0,3
79,79,30.75,3.425889994,8,15,2.708050201,1,0,2
80,80,26.7,3.284663565,12,12.9,2.557227311,0,0,1
81,81,20.85,3.037353948,12,12,2.48490665,0,0,1
82,82,35.25,3.562465529,15,15,2.708050201,1,1,1
83,83,26.7,3.284663565,15,15,2.708050201,1,1,1
84,84,26.55,3.279029748,12,13.05,2.568788134,0,1,1
85,85,27.75,3.32323584,12,12,2.48490665,0,1,1
86,86,25.05,3.220873828,16,12.75,2.545531272,0,1,1
87,87,66,4.189654742,16,47.49,3.860519163,1,0,3
88,88,52.65,3.963666239,16,19.5,2.970414466,1,0,1
89,89,45.625,3.820455812,16,23.25,3.146305132,1,0,3
90,90,30.9,3.430756184,15,15,2.708050201,1,0,1
91,91,29.4,3.380994674,15,16.5,2.803360381,0,0,1
92,92,33.3,3.505557397,15,13.5,2.602689685,0,0,1
93,93,21.9,3.086486637,12,9.75,2.277267285,0,0,1
94,94,18.15,2.898670561,12,9.75,2.277267285,0,0,1
95,95,46.875,3.847484484,16,17.25,2.847812143,0,0,3
96,96,25.5,3.238678452,12,14.4,2.667228207,1,1,1
97,97,26.55,3.279029748,12,15,2.708050201,1,1,1
98,98,26.7,3.284663565,12,13.5,2.602689685,1,1,1
99,99,29.85,3.39618484,15,15,2.708050201,0,1,1
100,100,69.25,4.237723145,20,42.48,3.749033377,1,0,3
101,101,31.95,3.464172181,8,15,2.708050201,1,0,2
102,102,26.25,3.267665989,8,15.6,2.747270914,1,0,1
103,103,35.7,3.575150689,16,17.25,2.847812143,0,0,1
104,104,28.5,3.349904087,12,16.5,2.803360381,0,0,1
105,105,17.1,2.839078464,12,10.2,2.32238772,0,0,1
106,106,25.2,3.226843995,12,13.05,2.568788134,1,1,1
107,107,24,3.17805383,12,12.75,2.545531272,0,1,1
108,108,27.45,3.312366168,12,10.2,2.32238772,0,1,1
109,109,18.45,2.91506437,12,10.2,2.32238772,0,1,1
110,110,39.3,3.671224519,15,15.75,2.756840365,1,0,1
111,111,38.85,3.659708077,15,15,2.708050201,1,0,1
112,112,30.75,3.425889994,8,15,2.708050201,1,0,2
113,113,37.5,3.624340933,15,20.4,3.015534901,1,0,1
114,114,58.75,4.073291153,16,21.75,3.079613758,1,0,3
115,115,34.5,3.540959324,12,18.75,2.931193752,0,0,1
116,116,36,3.583518938,12,19.98,2.994731773,0,0,1
117,117,29.1,3.370738174,8,16.5,2.803360381,0,0,1
118,118,16.5,2.803360381,12,10.2,2.32238772,0,0,1
119,119,19.65,2.978077338,12,12.75,2.545531272,1,1,1
120,120,24.75,3.208825489,12,12,2.48490665,0,1,1
121,121,27.15,3.301377046,15,15.75,2.756840365,0,1,1
122,122,26.4,3.27336401,12,12.75,2.545531272,0,1,1
123,123,23.1,3.139832618,16,12,2.48490665,0,1,1
124,124,54.9,4.005513349,15,25.5,3.238678452,1,0,3
125,125,70.875,4.260917762,19,43.5,3.772760938,1,0,3
126,126,51.25,3.936715618,16,27.48,3.313458467,1,0,3
127,127,67.5,4.212127598,17,34.98,3.55477647,1,0,3
128,128,29.34,3.378951773,12,19.5,2.970414466,1,0,1
129,129,39.6,3.678829118,15,16.5,2.803360381,1,0,1
130,130,29.1,3.370738174,12,15,2.708050201,1,0,1
131,131,33.15,3.501042717,15,16.5,2.803360381,1,0,1
132,132,66.75,4.200954297,16,52.5,3.96081317,1,0,3
133,133,33.75,3.518980417,12,15,2.708050201,1,0,2
134,134,27.3,3.306886702,15,17.25,2.847812143,1,0,1
