age,s,female,male,ethblack,ethhisp,wexp,married,sf,sm,siblings,earnings,asvab02,asvab03,learnings,wexpsq
39,19,0,1,0,0,10.96154022,0,12,16,1,27.39999962,51,51,3.310542999,120.155365
39,12,0,1,1,0,6.692306995,0,12,12,0,13.5,38,47,2.602689685,44.78697205
44,12,0,1,0,0,21.30768967,1,0,0,2,25,40,29,3.218875825,454.0176392
42,12,0,1,0,0,20.03845978,0,9,11,4,10,31,41,2.302585093,401.539856
42,19,0,1,0,0,16.88460922,1,16,16,2,81.81999969,64,60,4.404521709,285.0900269
40,14,0,1,0,0,15.03845978,1,14,16,2,15.38000011,46,54,2.733067972,226.1552734
42,14,0,1,0,0,21.96154022,0,14,12,0,28.84000015,61,55,3.361763318,482.3092346
44,15,0,1,0,0,20.75,1,12,14,4,9.609999657,64,61,2.262804187,430.5625
39,9,0,1,0,0,4.269230843,1,10,9,3,12.5,36,25,2.525728644,18.22633171
44,14,0,1,0,0,23.26922989,1,8,12,8,15.93000031,65,52,2.768204143,541.4570313
38,16,0,1,0,0,16.38460922,1,12,10,2,83.33000183,58,54,4.42280865,268.4554138
45,12,0,1,0,0,21.11539078,1,7,12,2,18.75,53,55,2.931193752,445.8597412
40,13,0,1,1,0,21.36539078,1,12,12,2,21.82999992,40,47,3.083285167,456.4799194
42,14,0,1,0,0,20.78845978,1,12,12,3,28.84000015,46,51,3.361763318,432.1600647
39,12,0,1,0,0,22.07691956,1,10,12,1,16.70999908,53,55,2.816007288,487.3903809
38,18,0,1,0,0,13.30768967,1,14,12,1,38.45999908,51,51,3.649618716,177.0946045
42,12,0,1,0,0,19.67308044,1,14,10,6,18.20000076,46,55,2.901421636,387.0300903
39,14,0,1,0,0,15.25,1,12,12,2,36.04999924,64,42,3.584906843,232.5625
40,19,0,1,0,0,11.71154022,1,16,16,2,25.76000023,65,60,3.24882291,137.1601715
43,11,0,1,0,0,23.01922989,1,10,12,4,21.11000061,53,51,3.049746891,529.8849487
39,13,0,1,0,1,14.19231033,1,12,12,3,23.60000038,38,33,3.161246728,201.4216766
42,12,0,1,0,0,19.13460922,1,11,8,7,20.94000053,64,55,3.041661231,366.1332703
42,12,0,1,0,0,21.5,0,14,12,1,21,53,54,3.044522438,462.25
39,16,0,1,0,0,16.03845978,1,13,12,5,17.94000053,51,54,2.887032886,257.2321777
41,12,0,1,0,0,21.92308044,1,12,12,1,10.82999992,45,50,2.382320054,480.62146
43,16,0,1,0,0,16.92308044,1,20,17,3,15.68999958,62,59,2.75302354,286.3906555
37,13,0,1,0,0,17.19231033,1,12,12,3,18,59,46,2.890371758,295.575531
40,12,0,1,0,0,14.30768967,1,12,11,1,12.5,47,50,2.525728644,204.7099762
39,13,0,1,0,0,18.38460922,1,12,11,3,25,62,56,3.218875825,337.993866
41,14,0,1,0,0,10.75,1,17,12,7,11.39000034,65,60,2.432735808,115.5625
43,16,0,1,1,0,19.48077011,0,6,12,2,23.25,49,60,3.146305132,379.5003967
43,12,0,1,0,0,21.67308044,0,8,10,4,14.25,43,54,2.656756907,469.7224121
40,15,0,1,0,1,20.55768967,0,11,12,2,24.61000061,64,42,3.203152889,422.6185913
41,12,0,1,0,0,18.09614944,0,12,12,1,17.75,42,59,2.876385516,327.4706116
40,14,0,1,0,0,18.28845978,0,16,16,3,15,51,55,2.708050201,334.4677734
45,12,0,1,1,0,21.36539078,1,10,11,6,12,35,28,2.48490665,456.4799194
39,14,0,1,0,0,1.923076987,0,11,11,2,8,54,48,2.079441542,3.698225021
38,14,0,1,0,0,18.15385056,0,10,12,0,8,62,61,2.079441542,329.5622864
40,14,0,1,0,0,13.80768967,1,8,5,5,13.72999954,58,59,2.619583186,190.652298
44,19,0,1,0,0,10.32691956,1,18,15,3,48.06999969,65,60,3.872658276,106.6452713
