"participation","income","age","educ","youngkids","oldkids","foreign","agesq"
0,48.4117097293688,30,8,1,1,0,900
1,37.2069555524658,45,8,0,1,0,2025
0,58.0220273890943,46,9,0,0,0,2116
0,66.5027779862001,31,11,2,0,0,961
0,66.7340101999432,44,12,0,2,0,1936
1,61.5899508092514,42,12,0,1,0,1764
0,94.344381549625,51,8,0,0,0,2601
1,35.9871784559875,32,8,0,2,0,1024
0,41.1401578459689,39,12,0,0,0,1521
0,35.8256716284481,43,11,0,2,0,1849
0,42.6429823953689,45,11,0,2,0,2025
0,35.1573507305581,60,12,0,0,0,3600
0,75.3268557296716,33,11,2,0,0,1089
0,148.221343545486,56,14,0,0,0,3136
0,98.8700855333462,56,11,0,0,0,3136
0,80.2973581786894,47,11,0,1,0,2209
0,52.1173403196987,50,8,0,0,0,2500
1,139.253180814136,39,12,0,0,0,1521
0,62.8575918574297,47,8,0,1,0,2209
1,57.3997369761431,53,11,0,0,0,2809
0,52.059053633364,29,19,0,0,0,841
1,66.7107240940452,46,11,0,1,0,2116
0,51.4630832752581,44,8,0,2,0,1936
0,35.6818344739178,20,12,1,0,0,400
1,35.7405079149915,54,8,0,0,0,2916
1,40.1831888768721,47,8,0,0,0,2209
0,37.8214620657851,28,9,2,0,0,784
0,74.9274806441132,47,8,0,1,0,2209
1,51.0767662200846,49,12,0,0,0,2401
0,38.8043642517077,30,11,0,1,0,900
0,129.261530600391,51,11,0,0,0,2601
0,42.9198198760983,28,11,0,2,0,784
0,41.1355092707818,54,11,0,0,0,2916
0,37.6899213688981,49,8,0,0,0,2401
0,68.5717553953781,53,10,0,0,0,2809
0,30.1919919203703,55,8,0,0,0,3025
0,31.9732533670624,24,11,1,0,0,576
0,99.4229250143571,50,8,0,1,0,2500
1,70.0217369020461,36,13,0,2,0,1296
0,34.6458420894738,23,9,1,0,0,529
1,66.5884221616738,41,12,0,2,0,1681
0,42.4968400336994,23,10,0,1,0,529
0,36.9979579661767,38,10,0,2,0,1444
0,44.330889812256,53,12,0,0,0,2809
0,15.8175284553753,45,12,0,1,0,2025
0,55.3905898497468,37,12,0,2,0,1369
0,76.8308091884483,36,15,2,0,0,1296
0,23.1828486054222,46,12,0,0,0,2116
0,40.9908438493872,31,10,1,1,0,961
1,41.9670052817764,42,10,0,2,0,1764
0,33.5228642523083,22,10,1,0,0,484
1,35.1362275109323,32,8,0,1,0,1024
1,35.5326403673974,34,9,0,2,0,1156
1,34.0454610433352,44,9,0,1,0,1936
1,33.7676323541733,58,12,0,0,0,3364
1,35.304969074583,44,9,0,2,0,1936
0,68.769526704903,55,9,0,0,0,3025
0,30.2986973856278,23,11,2,0,0,529
0,29.9007248033594,60,15,0,0,0,3600
0,52.2679682153665,50,10,0,2,0,2500
0,35.0894221223823,59,9,0,0,0,3481
0,27.5539174867899,35,9,0,2,0,1225
0,165.895441764603,61,13,0,0,0,3721
1,90.3239562089002,40,13,0,2,0,1600
0,36.8554948324319,24,11,1,0,0,576
