obs,idnumber,salary,lsalary,educ,salbegin,lsalbegin,male,minority,jobcat
1,16,40.8,3.708682081,12,15,2.708050201,1,0,1
2,17,46,3.828641396,15,14.25,2.656756907,1,0,1
3,18,103.75,4.641984159,16,27.51,3.314549575,1,0,3
4,19,42.3,3.744787086,12,14.25,2.656756907,1,0,1
5,20,26.25,3.267665989,12,11.55,2.446685437,0,0,1
6,21,38.85,3.659708077,16,15,2.708050201,0,0,1
7,22,21.75,3.079613758,12,12.75,2.545531272,1,1,1
8,23,24,3.17805383,15,11.1,2.406945108,0,1,1
9,24,16.95,2.830267834,12,9,2.197224577,0,1,1
10,25,21.15,3.051639905,15,9,2.197224577,0,1,1
11,26,31.05,3.435598808,15,12.6,2.533696814,1,0,1
12,27,60.375,4.100575112,19,27.48,3.313458467,1,0,3
13,28,32.55,3.482777369,15,14.25,2.656756907,1,0,1
14,29,135,4.905274778,19,79.98,4.381776603,1,0,3
15,30,31.2,3.440418095,15,14.25,2.656756907,1,0,1
16,31,36.15,3.587676949,12,14.25,2.656756907,1,0,1
17,32,110.625,4.706146103,19,45,3.80666249,1,0,3
18,33,42,3.737669618,15,15,2.708050201,1,0,1
19,34,92,4.521788577,19,39.99,3.688629423,1,0,3
20,35,81.25,4.397530821,17,30,3.401197382,1,0,3
21,36,31.35,3.445214267,8,11.25,2.420368129,0,0,1
22,37,29.1,3.370738174,12,13.5,2.602689685,1,1,1
23,38,31.35,3.445214267,15,15,2.708050201,1,1,1
24,39,36,3.583518938,16,15,2.708050201,1,1,1
25,40,19.2,2.954910279,15,9,2.197224577,0,1,1
26,41,23.55,3.15912582,12,11.55,2.446685437,0,1,1
27,42,35.1,3.55820113,15,16.5,2.803360381,1,0,1
28,43,23.25,3.146305132,12,14.25,2.656756907,1,0,1
29,44,29.25,3.375879574,8,14.25,2.656756907,1,0,1
30,45,30.75,3.425889994,12,13.5,2.602689685,1,0,2
31,46,22.35,3.106826321,15,12.75,2.545531272,0,0,1
32,47,30,3.401197382,12,16.5,2.803360381,0,0,1
33,48,30.75,3.425889994,12,14.1,2.646174797,1,0,2
34,49,34.8,3.549617387,15,16.5,2.803360381,1,0,1
35,50,60,4.094344562,16,23.73,3.16674007,1,0,3
36,51,35.55,3.570940156,12,15,2.708050201,1,0,1
37,52,45.15,3.80999028,15,15,2.708050201,1,0,1
38,53,73.75,4.300680995,18,26.25,3.267665989,1,0,3
39,54,25.05,3.220873828,12,13.5,2.602689685,1,0,1
40,55,27,3.295836866,12,15,2.708050201,1,0,1
41,56,26.85,3.290265821,15,13.5,2.602689685,1,0,1
42,57,33.9,3.523415014,15,15.75,2.756840365,1,0,1
43,58,26.4,3.27336401,15,13.5,2.602689685,0,0,1
44,59,28.05,3.333988632,15,14.25,2.656756907,1,1,1
45,60,30.9,3.430756184,12,15,2.708050201,1,1,1
46,61,22.5,3.113515309,8,9.75,2.277267285,1,1,1
47,62,48,3.871201011,16,21.75,3.079613758,1,0,3
48,63,55,4.007333185,17,26.25,3.267665989,1,0,3
49,64,53.125,3.972647627,16,21,3.044522438,1,0,3
50,65,21.9,3.086486637,8,14.55,2.677590994,1,0,1
51,66,78.125,4.358310108,19,30,3.401197382,1,0,3
52,67,46,3.828641396,16,21.24,3.055886196,1,0,3
53,68,45.25,3.81220267,16,21.48,3.06712227,1,0,3
54,69,56.55,4.035125203,16,25,3.218875825,1,0,3
55,70,41.1,3.716008122,15,20.25,3.008154794,1,0,1
56,71,82.5,4.412798293,17,34.98,3.55477647,1,0,3
57,72,54,3.988984047,16,18,2.890371758,0,0,1
58,73,26.4,3.27336401,12,10.5,2.351375257,0,0,1
59,74,33.9,3.523415014,15,19.5,2.970414466,0,0,1
60,75,24.15,3.18428438,15,11.55,2.446685437,0,0,1
61,76,29.25,3.375879574,15,11.55,2.446685437,0,0,1
62,77,27.6,3.317815773,12,11.4,2.433613355,0,0,1
63,78,22.95,3.133317937,12,10.5,2.351375257,0,0,1
64,79,34.8,3.549617387,16,14.55,2.677590994,0,0,1
65,80,51,3.931825633,16,18,2.890371758,0,0,1
66,81,24.3,3.19047635,12,10.95,2.393339456,0,0,1
67,82,24.75,3.208825489,12,14.25,2.656756907,0,1,1
68,83,22.95,3.133317937,12,11.25,2.420368129,0,1,1
69,84,25.05,3.220873828,8,10.95,2.393339456,0,1,1
70,85,25.95,3.25617161,15,17.1,2.839078464,1,0,1
71,86,31.65,3.454738149,15,15.75,2.756840365,1,0,1
72,87,24.15,3.18428438,12,14.1,2.646174797,1,0,1
73,88,72.5,4.283586562,19,28.74,3.358289881,1,0,3
74,89,68.75,4.230476737,19,27.48,3.313458467,1,0,3
75,90,16.2,2.785011242,8,9.75,2.277267285,0,0,1
76,91,20.1,3.000719815,12,11.25,2.420368129,0,0,1
77,92,24,3.17805383,8,10.95,2.393339456,0,0,1
78,93,25.95,3.25617161,12,10.95,2.393339456,0,0,1
79,94,24.6,3.202746443,12,10.05,2.307572635,0,0,1
80,95,28.5,3.349904087,12,10.5,2.351375257,0,0,1
81,96,30.75,3.425889994,8,15,2.708050201,1,1,2
82,97,40.2,3.693866996,17,19.5,2.970414466,1,1,1
83,98,30,3.401197382,8,15,2.708050201,1,1,2
84,99,22.05,3.093312602,12,10.95,2.393339456,0,1,1
85,100,78.25,4.359908829,18,27.48,3.313458467,1,0,3
86,101,60.625,4.104707349,16,22.5,3.113515309,1,0,3
